"","month","year","NIC"
"1","ec","0100",42328.8916596371
"2","ep","0180",31258.5833660449
"3","April","2008",41582.883350446
"4","August","2008",40757.9251572901
"5","December","2008",45157.6422785843
"6","February","2008",39399.8056747892
"7","July","2008",43771.0591448123
"8","March","2008",39552.1495316464
"9","May","2008",41640.0234800448
"10","November","2008",40613.0092571209
"11","October","2008",44290.5721294817
"12","April","2009",41264.9364551619
"13","August","2009",39199.0640982732
"14","February","2009",39460.9202220539
"15","January","2009",42102.0167063511
"16","July","2009",43529.0957617446
"17","June","2009",41958.340944411
"18","March","2009",41835.5219532016
"19","May","2009",40463.6953020544
"20","November","2009",40309.9651802414
"21","October","2009",42058.4594623176
"22","September","2009",41958.2504996334
"23","April","2010",41511.5180681246
"24","August","2010",39814.8449682127
"25","February","2010",37941.8350184419
"26","January","2010",39871.1794063142
"27","March","2010",43006.254882265
"28","May","2010",39787.2728798876
"29","November","2010",39859.9990134935
"30","October","2010",39077.407647119
"31","ov","2010",38865.5455175527
"32","September","2010",42589.2036001446
"33","April","2011",38437.6803609487
"34","August","2011",40253.6619482221
"35","December","2011",40433.3012314447
"36","February","2011",37736.668398344
"37","January","2011",38902.3724205396
"38","July","2011",39940.937224095
"39","June","2011",41269.7325013947
"40","March","2011",42484.2039043056
"41","May","2011",40989.2832877334
"42","October","2011",38072.8982458569
"43","September","2011",41135.8792697788
"44","April","2012",36715.0955584686
"45","August","2012",37560.2725434823
"46","February","2012",37240.6103790017
"47","July","2012",37206.6767765243
"48","June","2012",36155.4767300306
"49","March","2012",39934.7550597174
"50","May","2012",40581.3688783152
"51","November","2012",35965.2859193777
"52","October","2012",36191.201118602
"53","April","2013",36607.3262147571
"54","August","2013",36108.9476341623
"55","December","2013",36849.2095577119
"56","February","2013",33397.0426049893
"57","January","2013",36614.6888809936
"58","July","2013",37773.9901197059
"59","June","2013",34909.8386717677
"60","March","2013",36015.2879904818
"61","May","2013",37379.8100769404
"62","November","2013",35492.8071431502
"63","October","2013",36659.2493453397
"64","April","2014",34656.8819815008
"65","August","2014",34390.0049115459
"66","December","2014",38236.6827847707
"67","January","2014",36870.1878229075
"68","July","2014",37060.6451866772
"69","June","2014",34811.9352812676
"70","March","2014",35630.312302216
"71","May","2014",36077.9580900752
"72","November","2014",34477.1248098951
"73","October","2014",37407.580519244
"74","September","2014",35825.5687355427
"75","April","2015",35748.8887182544
"76","August","2015",34170.2177964295
"77","December","2015",38666.7494776611
"78","February","2015",33490.297409703
"79","January","2015",35964.2132310373
"80","July","2015",37679.9663117645
"81","June","2015",36385.4653000893
"82","March","2015",36586.013385839
"83","May","2015",34949.8063121885
"84","November","2015",35190.3750642811
"85","October","2015",36587.3383082177
"86","September","2015",36208.3850774762
"87","April","2016",35515.9779622017
"88","August","2016",33993.2867824008
"89","December","2016",36191.7543569908
"90","February","2016",33862.3525824697
"91","January","2016",34011.4024124951
"92","June","2016",34860.6692836101
"93","l","2016",33681.2858645816
"94","March","2016",35230.8486766044
"95","May","2016",34006.329929632
"96","November","2016",34802.7243829552
"97","October","2016",33545.6124789965
"98","September","2016",34622.5748021373
"99","April","2017",31963.608279938
"100","August","2017",34220.5554269406
"101","December","2017",33577.1041802078
"102","February","2017",31654.9694873488
"103","January","2017",34035.8641101921
"104","July","2017",35159.5892552318
"105","June","2017",36035.5034030056
"106","March","2017",35773.1817407695
"107","May","2017",34888.0470564888
"108","November","2017",34329.4238149951
"109","October","2017",34654.2012052413
"110","September","2017",34133.8539465444
"111","April","2018",31532.5416668319
"112","August","2018",32957.8136941067
"113","December","2018",32971.1022621623
"114","February","2018",30221.8440846441
"115","January","2018",33619.5112728058
"116","July","2018",32086.2425357004
"117","June","2018",32377.7870941882
"118","March","2018",32662.0361491169
"119","May","2018",32832.4259464667
"120","November","2018",32221.0424394864
"121","October","2018",33352.7512014134
"122","April","2019",32467.0040629024
"123","August","2019",35453.0399033631
"124","December","2019",34615.2858682483
"125","February","2019",30620.9773216497
"126","January","2019",33633.8195149158
"127","July","2019",33025.006536865
"128","June","2019",32256.5100686783
"129","March","2019",32854.5914252466
"130","May","2019",34199.2774352602
"131","November","2019",33737.7971883754
"132","October","2019",34893.831064502
"133","September","2019",33438.7770490042
"134","April","2020",36422.6379156735
"135","August","2020",34190.1851708523
"136","December","2020",38527.1294732418
"137","February","2020",32690.0545997855
"138","January","2020",35175.5994548285
"139","July","2020",37458.0948497023
"140","June","2020",36049.130571554
"141","March","2020",39076.6323026398
"142","May","2020",34502.0855871988
"143","November","2020",35912.3173004718
"144","October","2020",36823.9586678441
"145","September","2020",36765.8191367658
"146","February","2021",34556.8323545046
"147","January","2021",36737.7420927688
"148","March","2021",38150.3194202161
