country,deaths_att,diab_cost,usd_sum,lat,long
Afghanistan,"31,743",143.1,170,33.939,67.709
Argentina,"26,944","1,420.40",6.666666667,-38.416,-63.616
Australia,"23,226","5,944.00",109.705,-25.274,133.77
Austria,"12,021","6,574.70",31,47.516,14.55
Belgium,"10,714","6,433.20",56.56333333,50.504,4.469
Bolivia (Plurinational State of),"7,517",898.8,435.285,-16.29,-63.589
Bulgaria,"10,521","1,892.40",226,"42,734",25.486
Canada,"53,046","4,802.90",258.2096429,56.13,-106.346
Costa Rica,"3,663","2,890.00",290.294,9.749,-83.753
Dominican Republic,"12,777","1,490.10",603.058,18.8735,-70.16251
Finland,"9,338","5,514.60",1.5,61.92411,25.748151
France,"87,434","5,760.10",9.333333333,46.227638,2.213749
Gabon,"1,215","1,137.80",,-0.803689,11.609444
Georgia,"4,271",877.1,,42.315407,43.356892
Germany,"151,463","6,660.70",17.113,51.165691,10.451526
Ghana,"6,255",279.4,136.8292897,7.946527,-1.023194
Greece,"22,350","1,747.10","1.16",39.074208,21.824312
Guatemala,"13,850",888.5,767.6666667,15.783471,-90.230759
Honduras,"3,796",749.1,160,"15.199999	-86.241905"
India,"647,831",114.4,105.1333333,"20.593684	78.96288"
Jamaica,"4,303",884.9,140,18.109581,-77.297508
Japan,"245,010","3,239.30",92.415,36.204824,138.252924
Jordan,"5,705",980.7,569.5,30.585164,36.238414
Kenya,"15,285",448.6,342.2314,-0.023559,37.906193
Kuwait,"2,153","1,823.60",151.5,29.31166,47.481766
Lebanon,"5,492","1,930.80",236.25,33.854721,35.862285
Mexico,"184,384","1,412.30",113,23.634501,-102.552784
Morocco,"31,435",473.7,218,"31.791702	-7.09262"
Namibia,"1,674","2,120.90",208.2,-22.95764,18.49041
Netherlands,"21,213","6,444.90",40,52.132633,5.291266
New Zealand,"4,719","3,967.50",60,-40.900557,174.885971
Nigeria,"48,375",499.7,197.3333333,9.081999,8.675277
Philippines,"66,461",450.8,157.4595111,12.879721,121.774017
Poland,"5,330",994.3,22,51.919438,19.145136
South Korea,"47,522","2,554.60",178,35.907757,127.766922
Russia,"20,723","1,739.80",135,61.52401,105.318756
Somalia,"8,834",-,10,5.152149,46.19961
South Africa,"95,676","1,700.70",183.635,-30.559482,22.937506
Spain,"81,717","3,005.80",60.38,40.463667,-3.74922
Syria,"14,060",-,230,34.802075,38.996815
Uganda,"10,416",227.4,61.33333333,1.373333,32.290275
United Arab Emirates,"4,343","2,109.50",18.5,23.424076,53.847818
United Kingdom,"140,775","5,859.30",38,55.378051,-3.435973
United States of America,"669,384","11,779.20",489.7777066,37.09024,-95.712891
Venezuela (Bolivarian Republic of),"30,280",0,350,6.42375,-66.58973
Zambia,"15,519",334.4,18.88,-13.133897,27.849332
Zimbabwe,"2,942",794.4,94.8,-19.015438,29.154857
